,player_international,actual_team,number,Name,Nationalite,mois_de_naissance,jour_de_naissance,anne_de_naissance,age_actuel,taille_en_m,Poste,Pied_fort,id,Unnamed: 0,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,dico_fifa,Dribbling,Marking,Aggression,Reactions,Interceptions,Vision,Composure,Crossing,Acceleration,Strength,Balance,Agility,Penalties,Volleys,Power,Jumping,Heading,Curve,Injury,Finishing,player_value
247,True, Aviron bayonnais (éducateur),,, Français,septembre,27,1986,36,"1,88",Gardien de but,Droit,3503,326,Stéphane Ruffier,35,3113,0,0.0,0,0.0,0,0,1,1,GK,Saint-Etienne,0,0.0,1.711001381278038,1.711001381278038,"{'Dribbling': '12', 'Marking': '13', 'Aggression': '31', 'Interceptions': '25', 'Vision': '49', 'Composure': '66', 'Crossing': '11', 'Acceleration': '45', 'Stamina': '37', 'Strength': '76', 'Balance': '55', 'Agility': '51', 'Jumping': '72', 'Heading': '12', 'Finishing': '11', 'Curve': '17', 'Penalties': '25', 'Volleys': '13'}",12.0,13,31.0,,25.0,49.0,66.0,11.0,45.0,76.0,,51.0,25.0,13.0,,72.0,12.0,17.0,,11.0,-
248,True, Dinamo Zagreb,28,, Français,octobre,28,1989,33,"1,80",Défenseur,,3504,327,Kévin Théophile-Catherine,25,2164,0,0.5794431352987885,0,0.2367187980562448,4,4,6,0,D S,Saint-Etienne,0,0.5794431352987885,3.4539401791989803,3.35858016833663,"{'Dribbling': '60', 'Marking': 'None', 'Aggression': '77', 'Reactions': '66', 'Interceptions': '67', 'Vision': '57', 'Composure': '64', 'Crossing': '57', 'Acceleration': '77', 'Stamina': '78', 'Strength': '78', 'Balance': '72', 'Agility': '70', 'Jumping': '84', 'Heading': '66', 'Finishing': '43', 'Curve': '66', 'Penalties': '45', 'Volleys': '37'}",60.0,None,77.0,66.0,67.0,57.0,64.0,57.0,77.0,78.0,,70.0,45.0,37.0,,84.0,66.0,66.0,,43.0,"1,50 mio. €"
249,True, ATK Mohun Bagan,6,Florentin Peilé Pogba, Guinéen Français,août,19,1990,32,"1,89",Défenseur central,Gauche,3505,328,Florentin Pogba,5,315,0,0.0,0,0.1584630012512207,0,2,1,0,D S,Saint-Etienne,0,0.0,0.0900493999943137,0.0764175010845065,"{'Dribbling': '53', 'Marking': 'None', 'Aggression': '76', 'Reactions': '58', 'Interceptions': '66', 'Vision': '42', 'Composure': '68', 'Crossing': '64', 'Acceleration': '50', 'Stamina': '75', 'Strength': '88', 'Balance': '44', 'Agility': '63', 'Jumping': '78', 'Heading': '66', 'Finishing': '21', 'Curve': '60', 'Penalties': '38', 'Volleys': '45', 'Injury': 'Prone'}",53.0,None,76.0,58.0,66.0,42.0,68.0,64.0,50.0,88.0,,63.0,38.0,45.0,,78.0,66.0,60.0,Prone,21.0,450 K €
250,True, NEC Nimègue,14,, Marocain Néerlandais,mars,23,1994,28,"1,77",Attaquant pointe ou ailier droit,Gaucher,3510,329,Oussama Tannane,6,201,0,1.187486995011568,1,0.6635238854214549,7,2,1,0,F S,Saint-Etienne,0,1.187486995011568,1.908155094832182,0.0693969018757343,"{'Dribbling': '82', 'Marking': 'None', 'Aggression': '77', 'Reactions': '66', 'Interceptions': '38', 'Vision': '73', 'Composure': '74', 'Crossing': '68', 'Acceleration': '86', 'Stamina': '57', 'Strength': '78', 'Balance': '83', 'Agility': '71', 'Jumping': '47', 'Heading': '45', 'Finishing': '73', 'Curve': '83', 'Penalties': '75', 'Volleys': '70', 'Power': 'Free-Kick'}",82.0,None,77.0,66.0,38.0,73.0,74.0,68.0,86.0,78.0,,71.0,75.0,70.0,Free-Kick,47.0,45.0,83.0,,73.0,950 K €
251,True, FK Haugesund,16,Alexander Toft Søderlund, Norvégien,août,3,1987,35,"1,87",Attaquant,Droit,3511,330,Alexander Søderlund,12,346,0,0.5856976117938757,1,0.1695062033832073,6,6,0,1,F S,Saint-Etienne,0,0.5856976117938757,1.037864712998271,0.3586902022361755,"{'Dribbling': '62', 'Marking': 'None', 'Aggression': '75', 'Reactions': '66', 'Interceptions': '44', 'Vision': '53', 'Composure': '69', 'Crossing': '53', 'Acceleration': '53', 'Stamina': '62', 'Strength': '82', 'Balance': '51', 'Agility': '50', 'Jumping': '76', 'Heading': '67', 'Finishing': '65', 'Curve': '51', 'Penalties': '65', 'Volleys': '65', 'Power': 'Header'}",62.0,None,75.0,66.0,44.0,53.0,69.0,53.0,53.0,82.0,,50.0,65.0,65.0,Header,76.0,67.0,51.0,,65.0,150 K €
252,False,,,, Français,avril,6,1987,35,"1,80",Milieu offensif,Droit,3514,331,Benjamin Corgnet,18,1384,0,1.393562776967883,2,1.9931800439953804,27,19,2,0,F M S,Strasbourg,0,1.393562776967883,4.231982726603746,2.1254234090447426,"{'Dribbling': '72', 'Marking': '49', 'Aggression': '52', 'Reactions': '66', 'Interceptions': '65', 'Vision': '71', 'Composure': '63', 'Crossing': '67', 'Acceleration': '49', 'Stamina': '50', 'Strength': '62', 'Balance': '69', 'Agility': '62', 'Jumping': '78', 'Heading': '73', 'Finishing': '60', 'Curve': '67', 'Penalties': '68', 'Volleys': '62', 'Injury': 'Prone'}",72.0,49,52.0,66.0,65.0,71.0,63.0,67.0,49.0,62.0,,62.0,68.0,62.0,,78.0,73.0,67.0,Prone,60.0,-
253,True, Kasımpaşa SK,13,, Français,mars,25,1992,30,"1,81",Milieu offensif,Droit,3515,332,Valentin Eysseric,1,90,0,0.0520353987812995,0,0.0807742998003959,1,2,0,0,M,Nice,0,0.0520353987812995,0.474150002002716,0.4221149981021881,"{'Dribbling': '75', 'Marking': 'None', 'Aggression': '66', 'Reactions': '69', 'Interceptions': '59', 'Vision': '76', 'Composure': '70', 'Crossing': '76', 'Acceleration': '67', 'Stamina': '70', 'Strength': '63', 'Balance': '70', 'Agility': '76', 'Jumping': '54', 'Heading': '52', 'Finishing': '66', 'Curve': '79', 'Penalties': '71', 'Volleys': '68'}",75.0,None,66.0,69.0,59.0,76.0,70.0,76.0,67.0,63.0,,76.0,71.0,68.0,,54.0,52.0,79.0,,66.0,"1,50 mio. €"
254,True, Saint-Nicolas-lez-Arras,-,Benoît Pierre David Assou-Ekotto, Camerounais Français,mars,24,1984,38,"1,75",Arrière gauche,Gauche,3516,333,Benoit Assou-Ekotto,13,1055,0,0.0233503999188542,0,0.4751515053212642,2,8,1,2,D,Metz,0,0.0233503999188542,2.6567212026566267,2.456869188696146,"{'Dribbling': '69', 'Marking': '65', 'Aggression': '68', 'Reactions': '61', 'Interceptions': '73', 'Vision': '67', 'Composure': '71', 'Crossing': '71', 'Acceleration': '65', 'Stamina': '60', 'Strength': '65', 'Balance': '73', 'Agility': '73', 'Jumping': '73', 'Heading': '60', 'Finishing': '38', 'Curve': '72', 'Penalties': '57', 'Volleys': '56'}",69.0,65,68.0,61.0,73.0,67.0,71.0,71.0,65.0,65.0,,73.0,57.0,56.0,,73.0,60.0,72.0,,38.0,-
255,True, ES Troyes AC,40,, Français,janvier,13,1986,36,"1,84",Gardien de but,Droit,3518,335,Jessy Moulin,4,304,0,0.0,0,0.0,0,0,1,0,GK S,Saint-Etienne,0,0.0,0.1369059979915619,0.1369059979915619,"{'Dribbling': '13', 'Marking': 'None', 'Aggression': '20', 'Reactions': '62', 'Interceptions': '16', 'Vision': '29', 'Composure': '59', 'Crossing': '15', 'Acceleration': '50', 'Stamina': '32', 'Strength': '54', 'Balance': '56', 'Agility': '48', 'Jumping': '42', 'Heading': '15', 'Finishing': '14', 'Curve': '14', 'Penalties': '23', 'Volleys': '14', 'Team': 'Player'}",13.0,None,20.0,62.0,16.0,29.0,59.0,15.0,50.0,54.0,,48.0,23.0,14.0,,42.0,15.0,14.0,,14.0,250 K €
256,True, FC Zurich,8,, Norvégien,juillet,7,1994,28,"1,87",Milieu défensif,Gauche,3519,336,Ole Selnaes,26,2066,0,0.4745371006429195,2,1.4925250839442017,14,19,9,0,M S,Saint-Etienne,0,0.4745371006429195,5.986571064218879,4.771826578304172,"{'Dribbling': '72', 'Marking': 'None', 'Aggression': '68', 'Reactions': '75', 'Interceptions': '76', 'Vision': '76', 'Composure': '73', 'Crossing': '69', 'Acceleration': '67', 'Stamina': '87', 'Strength': '80', 'Balance': '71', 'Agility': '82', 'Jumping': '80', 'Heading': '74', 'Finishing': '64', 'Curve': '73', 'Penalties': '65', 'Volleys': '66', 'id': 3519}",72.0,None,68.0,75.0,76.0,76.0,73.0,69.0,67.0,80.0,,82.0,65.0,66.0,,80.0,74.0,73.0,,64.0,"2,00 mio. €"
